NO,FORMULA,COMPOUND NAME,MOLWT,TFP,TBP,TC,PC,VC,LDEN,TDEN,HVAP,VISA,VISB,DELHF,DELGF,CPVAPA,CPVAPB,CPVAPC,CPVAPD,ANTA,ANTB,ANTC,TMN,TMX,,title
97,C2H4O,ETHYLENE OXIDE,44.054,-112.2,10.3,469,71.9,0.14,899,0,"25,623",341.88,194.22,-52.67,-13.1,-7.519,2.22E-01,-1.26E-04,2.59E-08,16.74,2567.61,-29.01,-73,37,,"C2H4O, ETHYLENE OXIDE"
98,C2H4O2,ACETIC ACID,60.052,16.6,117.9,594.4,57.9,0.171,1049,20,"23,697",600.94,306.21,-435.13,-376.94,4.84,2.55E-01,-1.75E-04,4.95E-08,16.808,3405.57,-56.34,17,157,,"C2H4O2, ACETIC ACID"
99,C2H4O2,METHYL FORMATE,60.052,-99,31.7,487.2,60,0.172,974,20,"28,219",363.19,212.7,-350.02,-297.39,1.432,2.70E-01,-1.95E-04,5.70E-08,16.5104,2590.87,-42.6,-48,51,,"C2H4O2, METHYL FORMATE"
100,C2H5Br,ETHYL BROMIDE,108.966,-118.6,38.3,503.8,62.3,0.215,1451,25,"26,502",369.8,220.68,-64.06,-26.33,6.657,2.35E-01,-1.47E-04,3.80E-08,15.9338,2511.68,-41.44,-47,60,,"C2H5Br, ETHYL BROMIDE"
101,C2H5Cl,ETHYL CHLORIDE,64.515,-136.4,12.2,460.4,52.7,0.199,896,20,"24,702",320.94,190.83,-111.79,-60.04,-0.553,2.61E-01,-1.84E-04,5.55E-08,15.98,2332.01,-36.48,-73,37,,"C2H5Cl, ETHYL CHLORIDE"
102,C2H5F,ETHYL FLUORIDE,48.06,-143.3,-37.8,375.3,50.3,0.169,,,,,,-261.67,-209.67,4.346,2.18E-01,-1.17E-04,2.41E-08,16.0686,1966.89,-27,-103,-21,,"C2H5F, ETHYL FLUORIDE"
103,C2H5N,ETHYLENE IMIDE,43.069,-78.2,56.6,,,,833,25,"32,071",,,123.51,178.11,-20.771,3.02E-01,-2.06E-04,5.65E-08,16.4227,2610.44,-63.15,-25,86,,"C2H5N, ETHYLENE IMIDE"
104,C2H5NO2,NITROETHANE,75.068,-89.2,114,595,48.5,0.228,1047,20,"35,994",,,-101.32,,,,,,17.4716,3848.24,-31.96,114,-21,,"C2H5NO2, NITROETHANE"
105,C2H6,ETHANE,30.07,-183.3,-88.7,305.4,48.8,0.148,548,-90,"14,717",156.6,95.57,-84.74,-32.95,5.409,1.78E-01,-6.94E-05,8.71E-09,15.6637,1511.42,-17.16,-143,-74,,"C2H6, ETHANE"
106,C2H6O,DIMETHYL ETHER,46.069,-141.5,-24.9,400,53.7,0.178,667,20,"21,520",,,-184.18,-113,17.015,1.79E-01,-5.23E-05,-1.92E-09,16.8467,2361.44,-17.1,-94,-8,,"C2H6O, DIMETHYL ETHER"
107,C2H6O,ETHANOL,46.069,-114.1,78.3,516.2,63.8,0.167,789,20,"38,770",686.64,300.88,-234.96,-168.39,9.014,2.14E-01,-8.39E-05,1.37E-09,18.9119,3803.98,-41.68,-3,96,,"C2H6O, ETHANOL"
