NO,FORMULA,COMPOUND NAME,MOLWT,TFP,TBP,TC,PC,VC,LDEN,TDEN,HVAP,VISA,VISB,DELHF,DELGF,CPVAPA,CPVAPB,CPVAPC,CPVAPD,ANTA,ANTB,ANTC,TMN,TMX,,title
425,C10H14,1-METHYL-3-ISOPROPYLBENZENE,134.222,,175.1,666,29.4,,861,20,"38,142",,,-29.31,,-48.759,9.06E-01,-6.05E-04,1.63E-07,15.9811,3543.79,-69.22,55,205,,"C10H14, 1-METHYL-3-ISOPROPYLBENZENE"
426,C10H14,1-METHYL-4-ISOPROPYLBENZENE,134.222,-73.2,177.1,653,28.3,,857,20,,,,,,,,,,15.9424,3539.21,-70.1,56,207,,"C10H14, 1-METHYL-4-ISOPROPYLBENZENE"
427,C10H14,1;4-DIETHYLBENZENE,134.222,-42.2,183.7,657.9,28.1,0.48,862,20,"39,398",,,-22.27,137.96,-37.417,8.67E-01,-5.56E-04,1.41E-07,16.114,3657.22,-71.18,62,214,,"C10H14, 1;4-DIETHYLBENZENE"
428,C10H14,1;2;4;5-TETRAMETHYLBENZENE,134.222,78.8,196.8,675,29.4,0.48,838,81,"45,552",,,-45.3,119.53,15.265,6.52E-01,-2.88E-04,3.26E-08,16.3023,3850.91,-71.72,88,227,,"C10H14, 1;2;4;5-TETRAMETHYLBENZENE"
429,C10H15N,N-BUTYLANILINE,149.236,-14.2,240.7,721,28.4,0.518,932,20,"48,944",1111.1,341.28,,,-34.068,9.14E-01,-5.56E-04,1.29E-07,16.3994,4079.72,-96.15,112,287,,"C10H15N, N-BUTYLANILINE"
430,C10H18,CIS-DECALIN,138.254,-43.2,195.7,702.2,31.4,,897,20,"39,356",,,-169.06,85.87,-112.457,1.12E+00,-6.61E-04,1.44E-07,15.8312,3671.61,-69.74,95,222,,"C10H18, CIS-DECALIN"
431,C10H18,TRANS-DECALIN,138.254,-30.4,187.2,690,31.4,,870,20,"38,519",702.27,339.66,-182.42,73.48,-97.67,1.04E+00,-5.48E-04,8.98E-08,15.7989,3610.66,-66.49,90,197,,"C10H18, TRANS-DECALIN"
432,C10H19N,CAPRYLONITRILE,153.269,-17.9,242.8,622,32.5,,820,20,,,,,,,,,,,,,,,,"C10H19N, CAPRYLONITRILE"
433,C10H20,N-BUTYLCYCLOHEXANE,140.27,-74.8,180.9,667,31.5,,799,20,"38,519",598.3,311.39,-213.32,56.48,-62.957,1.06E+00,-6.31E-04,1.40E-07,15.9116,3542.57,-72.32,59,212,,"C10H20, N-BUTYLCYCLOHEXANE"
434,C10H20,ISOBUTYLCYCLOHEXANE,140.27,,171.3,659,31.2,,795,20,,,,,,,,,,15.8141,3437.99,-69.99,82,182,,"C10H20, ISOBUTYLCYCLOHEXANE"
435,C10H20,SEC-BUTYLCYCLOHEXANE,140.27,,179.3,669,26.7,,813,20,,,,,,,,,,15.867,3524.57,-70.78,87,197,,"C10H20, SEC-BUTYLCYCLOHEXANE"
436,C10H20,TERT-BUTYLCYCLOHEXANE,140.27,-41.2,171.5,659,26.6,,813,20,,,,,,,,,,15.7884,3457.85,-67.04,84,177,,"C10H20, TERT-BUTYLCYCLOHEXANE"
437,C10H20,1-DECENE,140.27,-66.3,170.5,615,22.1,0.65,741,20,"38,686",518.37,277.8,-124.22,121.12,-4.664,9.08E-01,-5.06E-04,1.10E-07,16.0129,3448.18,-76.09,83,187,,"C10H20, 1-DECENE"
438,C10H20O,MENTHOL,156.269,42.8,216.3,694,,,,,,,,,,,,,,19.0161,5539.9,-37.85,212,56,,"C10H20O, MENTHOL"
439,C10H22,N-DECANE,142.286,-29.7,174.1,617.6,21.1,0.603,730,20,"39,306",558.61,288.37,-249.83,33.24,-7.913,9.61E-01,-5.29E-04,1.13E-07,16.0114,3456.8,-78.67,57,203,,"C10H22, N-DECANE"
440,C10H22,3;3;5-TRIMETHYLHEPTANE,142.286,,155.6,609.6,23.2,,,,"36,676",,,-258.74,33.58,-70.372,1.23E+00,-8.65E-04,2.46E-07,15.7848,3305.2,-67.66,40,275,,"C10H22, 3;3;5-TRIMETHYLHEPTANE"
441,C10H22,2;2;3;3-TETRAMETHYLHEXANE,142.286,,160.3,623.1,25.1,,,,"36,383",,,,,-58.833,1.23E+00,-8.83E-04,2.58E-07,15.7598,3371.05,-64.09,41,190,,"C10H22, 2;2;3;3-TETRAMETHYLHEXANE"
442,C10H22,2;2;5;5-TETRAMETHYLHEXANE,142.286,,137.4,581.5,21.9,,,,"35,295",,,,,-62.341,1.24E+00,-8.96E-04,2.62E-07,15.8446,3172.92,-66.15,27,165,,"C10H22, 2;2;5;5-TETRAMETHYLHEXANE"
443,C10H22O,1-DECANOL,158.285,6.9,230.2,700,22.3,0.6,830,20,"50,242",1481.8,380,-401.93,-104.25,14.57,8.95E-01,-3.92E-04,3.45E-08,15.9395,3389.43,-139,103,230,,"C10H22O, 1-DECANOL"
444,C11H10,1-METHYLNAPHTHALENE,142.201,-30.5,244.6,772,35.7,0.445,1020,20,"46,055",862.89,361.76,116.94,217.84,-64.82,9.39E-01,-6.94E-04,2.02E-07,16.2008,4206.7,-78.15,107,278,,"C11H10, 1-METHYLNAPHTHALENE"
445,C11H10,2-METHYLNAPHTHALENE,142.201,34.5,241,761,35.1,0.462,990,40,"46,055",695.42,351.79,116.18,216.29,-56.518,9.00E-01,-6.47E-04,1.84E-07,16.2758,4237.37,-74.75,104,275,,"C11H10, 2-METHYLNAPHTHALENE"
446,C11H14O2,BUTYL BENZOATE,178.232,-22.2,249.8,723,26.3,0.561,1006,20,"48,986",882.36,350.34,,,-17.367,8.68E-01,-4.61E-04,7.23E-08,16.3363,4158.47,-94.15,117,297,,"C11H14O2, BUTYL BENZOATE"
447,C11H22,N-HEXYLCYCLOPENTANE,154.297,,203.1,660.1,21.4,,,,"41,198",617.57,318.65,-209.63,78.25,-58.322,1.13E+00,-6.54E-04,1.47E-07,16.014,3702.56,-81.55,78,234,,"C11H22, N-HEXYLCYCLOPENTANE"
448,C11H22,1-UNDECENE,154.297,-49.2,192.6,637,20,,751,20,"40,905",566.26,294.89,-144.86,129.54,-5.585,1.00E+00,-5.60E-04,1.22E-07,16.0412,3597.72,-83.41,72,223,,"C11H22, 1-UNDECENE"
449,C11H24,N-UNDECANE,156.313,-25.6,195.9,638.8,19.7,0.66,740,20,"41,533",605.5,305.01,-270.47,41.62,-8.395,1.05E+00,-5.80E-04,1.24E-07,16.0541,3614.07,-85.45,75,225,,"C11H24, N-UNDECANE"
450,C12H8,ACENAPHTHALENE,152.196,95,270,796.9,32.2,0.487,,,,,,,,-64.623,8.85E-01,-5.85E-04,1.31E-07,16.3091,4470.92,-81.4,177,377,,"C12H8, ACENAPHTHALENE"
451,C12H10,DIPHENYL,154.212,69.2,255.2,789,38.5,0.502,990,74,"45,636",733.87,369.58,182.21,280.26,-97.067,1.11E+00,-8.86E-04,2.79E-07,16.6832,4602.23,-70.42,70,272,,"C12H10, DIPHENYL"
452,C12H10O,DIPHENYL ETHER,170.211,26.8,258,766,31.4,,1066,30,"47,143",1146,379.29,49.99,,-60.73,9.28E-01,-5.87E-04,1.36E-07,16.3459,4310.25,-87.31,145,325,,"C12H10O, DIPHENYL ETHER"
453,C12H24,N-HEPTYLCYCLOPENTANE,168.324,,224.1,679,19.5,,,,"43,375",654.77,333.12,-230.27,86.67,-59.264,1.22E+00,-7.08E-04,1.60E-07,16.0589,3850.38,-88.75,95,256,,"C12H24, N-HEPTYLCYCLOPENTANE"
454,C12H24,1-DODECENE,168.324,-35.2,213.3,657,18.5,,758,20,"42,998",615.67,310.07,-165.46,138,-6.544,1.10E+00,-6.16E-04,1.34E-07,16.061,3729.87,-90.88,88,244,,"C12H24, 1-DODECENE"
455,C12H26,N-DODECANE,170.34,-9.6,216.3,658.3,18.2,0.713,748,20,"43,668",631.63,318.78,-291.07,50.07,-9.328,1.15E+00,-6.35E-04,1.36E-07,16.1134,3774.56,-91.31,91,247,,"C12H26, N-DODECANE"
456,C12H260,DIHEXYL ETHER,186.339,-43.2,226.4,657,18.2,0.72,794,20,"45,636",723.43,323.35,,,33.536,1.07E+00,-5.54E-04,1.68E-07,16.3372,3982.78,-89.15,100,272,,"C12H260, DIHEXYL ETHER"
457,C12H26O,DODECANOL,186.339,23.9,259.9,679,19.3,0.718,835,20,,1417.8,398.89,-443.13,-87.13,9.224,1.10E+00,-5.34E-04,7.78E-08,15.2638,3242.04,-157.1,134,307,,"C12H26O, DODECANOL"
458,C12H27N,TRIBUTYLAMINE,185.355,,213.4,643,18.2,,779,20,"44,380",889.06,312.48,,,7.993,1.20E+00,-6.70E-04,1.45E-07,16.2878,3865.58,-86.15,89,258,,"C12H27N, TRIBUTYLAMINE"
459,C13H10,FLUORENE,166.223,114,297.9,822.3,29.9,0.534,,,,,,,,-54.491,9.04E-01,-5.39E-04,9.26E-08,18.2166,6462.6,-13.4,207,407,,"C13H10, FLUORENE"
460,C13H12,DIPHENYLMETHANE,168.239,26.8,264.3,767,29.8,,1006,20,,,,,,,,,,14.4856,2902.44,-167.9,200,290,,"C13H12, DIPHENYLMETHANE"
461,C13H26,N-OCTYLCYCLOPENTANE,182.351,,243.7,694,17.9,,,,"45,427",695.83,346.19,-250.87,95.12,-59.951,1.32E+00,-7.61E-04,1.71E-07,16.0941,3983.01,-95.85,112,276,,"C13H26, N-OCTYLCYCLOPENTANE"
462,C13H26,1-TRIDECENE,182.351,-23.1,232.7,674,17,,766,20,"45,008",658.16,323.71,-186.1,146.37,-7.118,1.19E+00,-6.67E-04,1.45E-07,16.085,3856.23,-97.94,104,264,,"C13H26, 1-TRIDECENE"
463,C13H28,N-TRIDECANE,184.367,-5.4,235.4,675.8,17.2,0.78,756,20,"45,678",664.1,332.1,-311.71,58.49,-10.463,1.25E+00,-6.91E-04,1.49E-07,16.1355,3892.91,-98.93,107,267,,"C13H28, N-TRIDECANE"
464,C14H10,ANTHRACENE,178.234,216.5,341.2,883,,,,,"56,522",513.28,405.81,224.83,,-58.979,1.01E+00,-6.59E-04,1.61E-07,17.6701,6492.44,-26.13,217,382,,"C14H10, ANTHRACENE"
465,C14H10,PHENANTHRENE,178.234,100.5,339.4,878,,,,,"55,684",,,202.64,,-58.979,1.01E+00,-6.59E-04,1.61E-07,16.7187,5477.94,-69.39,177,382,,"C14H10, PHENANTHRENE"
466,C14H28,N-NONYLCYCLOPENTANE,196.378,,262.1,710.5,16.5,,,,"47,269",735.19,357.74,-271.51,103.5,-60.809,1.41E+00,-8.16E-04,1.83E-07,16.1089,4096.3,-103,127,296,,"C14H28, N-NONYLCYCLOPENTANE"
467,C14H28,1-TETRADECENE,196.378,-12.9,251.1,689,15.6,,786,0,"46,934",697.49,336.13,-206.66,154.87,-7.967,1.29E+00,-7.21E-04,1.57E-07,16.1643,4018.01,-102.7,119,284,,"C14H28, 1-TETRADECENE"
468,C14H30,N-TETRADECANE,198.394,5.8,253.5,694,16.2,0.83,763,20,"47,646",689.85,344.21,-332.35,66.86,-10.982,1.34E+00,-7.42E-04,1.60E-07,16.148,4008.52,-105.4,121,287,,"C14H30, N-TETRADECANE"
469,C15H12,1-PHENYLINDENE,192.261,,322,843.7,27,0.598,,,,,,,,-96.154,1.19E+00,-7.79E-04,1.77E-07,16.417,4872.9,-97.3,227,427,,"C15H12, 1-PHENYLINDENE"
470,C15H14,2-ETHYLFLUORENE,194.277,,309,811.1,24.6,0.629,,,,,,,,-107.036,1.26E+00,-8.16E-04,1.79E-07,16.5199,4789.44,-97.9,207,407,,"C15H14, 2-ETHYLFLUORENE"
471,C15H30,N-DECYLCYCLOPENTANE,210.405,,279.3,723.8,15.2,,,,"49,027",771.74,368.3,-292.15,111.91,-61.923,1.51E+00,-8.72E-04,1.96E-07,16.1261,4203.94,-109.7,140,313,,"C15H30, N-DECYLCYCLOPENTANE"
472,C15H30,1-PENTADECENE,210.405,-3.8,268.3,704,14.6,,791,0,"48,692",739.13,347.46,-227.39,163.16,-9.203,1.38E+00,-7.78E-04,1.70E-07,16.1539,4103.15,-110.6,133,301,,"C15H30, 1-PENTADECENE"
473,C15H32,N-PENTADECANE,212.421,9.8,270.6,707,15.2,0.88,769,20,"49,488",718.51,355.92,-352.99,75.28,-11.916,1.43E+00,-7.97E-04,1.72E-07,16.1724,4121.51,-111.8,135,304,,"C15H32, N-PENTADECANE"
474,C16H10,FLUORANTHENE,202.256,110,393,936.6,26,0.66,,,,,,,,-80.706,1.17E+00,-7.94E-04,1.86E-07,16.4523,5438.77,-112.4,287,487,,"C16H10, FLUORANTHENE"
475,C16H10,PYRENE,202.256,151,362,892.1,26,0.637,,,,,,,,-94.379,1.19E+00,-7.93E-04,1.76E-07,16.4842,5203.08,-107.2,257,477,,"C16H10, PYRENE"
476,C16H12,N-PHENYLNAPHTHALENE,204.272,,316,840.1,26.3,0.605,,,,,,,,-99.516,1.15E+00,-6.11E-04,6.06E-08,16.9691,5351.04,-81.7,227,427,,"C16H12, N-PHENYLNAPHTHALENE"
477,C16H22O4,DIBUTYL-O-PHTHALATE,278.35,-35.2,334.8,,,,1047,20,"79,131",2588.1,336.24,,,1.88,1.25E+00,-6.12E-04,6.97E-08,16.9539,4852.47,-138.1,196,384,,"C16H22O4, DIBUTYL-O-PHTHALATE"
478,C16H32,N-DECYLCYCLOHEXANE,224.432,,297.6,750,13.6,,,,"50,409",925.84,378.69,,,-69.015,1.65E+00,-9.61E-04,2.14E-07,16.1627,4373.37,-111.8,190,300,,"C16H32, N-DECYLCYCLOHEXANE"
479,C16H32,1-HEXADECENE,224.432,4.1,284.8,717,13.4,,788,10,"50,451",767.48,357.85,-247.98,171.62,-9.705,1.48E+00,-8.30E-04,1.81E-07,16.2203,4245,-115.2,147,319,,"C16H32, 1-HEXADECENE"
480,C16H32O2,PALMIC ACID,256.431,63,348.5,791,19,0.946,828,102,"66,992",,,-723.06,,,,,,18.9558,7049.18,-55.08,353,153,,"C16H32O2, PALMIC ACID"
481,C16H34,N-HEXADECANE,226.448,17.8,286.8,717,14.2,,773,20,"51,246",738.3,366.11,-373.59,83.74,-13.017,1.53E+00,-8.54E-04,1.85E-07,16.1841,4214.91,-118.7,150,321,,"C16H34, N-HEXADECANE"
482,C17H34,N-DODECYLCYCLOPENTANE,238.459,,310.9,750,13,,,,"52,628",853.53,385.53,-336.12,126.02,-63.263,1.70E+00,-9.77E-04,2.19E-07,16.1915,4395.87,-124.2,168,346,,"C17H34, N-DODECYLCYCLOPENTANE"
483,C17H36O,HEPTADECANOL,256.474,53.8,323.8,736,14.2,,848,54,"60,709",,,-546.25,-44.67,-7.792,1.65E+00,-9.35E-04,2.04E-07,15.6161,3672.62,-188.1,191,383,,"C17H36O, HEPTADECANOL"
484,C17H36,N-HEPTADECANE,240.475,21.8,302,733,13.2,1,778,20,"52,921",757.88,375.9,-394.19,92.15,-13.967,1.62E+00,-9.08E-04,1.97E-07,16.151,4294.55,-124,161,337,,"C17H36, N-HEPTADECANE"
485,C18H12,CHRYSENE,228.294,255,448,993.6,23.9,0.736,,,,,,,,-115.757,1.34E+00,-8.31E-04,1.54E-07,16.6038,5915.26,-128.1,377,577,,"C18H12, CHRYSENE"
486,C18H14,O-TERPHENYL,230.31,56.8,331.8,891,39,0.769,,,,1094.1,461.27,,,,,,,,,,,,,"C18H14, O-TERPHENYL"
487,C18H14,M-TERPHENYL,230.31,86.8,364.8,924.8,35.1,0.784,,,,940.58,460.94,,,,,,,,,,,,,"C18H14, M-TERPHENYL"
488,C18H14,P-TERPHENYL,230.31,211.8,375.8,926,33.2,0.779,,,,911.01,461.1,,,,,,,,,,,,,"C18H14, P-TERPHENYL"
489,C18H34O2,OLEIC ACID,282.469,13.3,362.3,797,17,1.035,893,20,"68,131",,,-646.02,,,,,,18.2445,5884.49,-127.26,360,176,,"C18H34O2, OLEIC ACID"
490,C18H36,1-OCTADECENE,252.486,17.6,314.8,739,11.3,,789,20,"54,303",816.19,376.93,-289.22,188.45,-11.329,1.66E+00,-9.37E-04,2.05E-07,16.2221,4416.13,-127.3,171,350,,"C18H36, 1-OCTADECENE"
491,C18H36,N-TRIDECYLCYCLOPENTANE,252.486,,325.4,761,12.1,,,,"54,345",891.8,392.78,-353.99,137.08,-64.209,1.79E+00,-1.03E-03,2.31E-07,16.227,4483.13,-131.3,180,361,,"C18H36, N-TRIDECYLCYCLOPENTANE"
492,C18H36O2,STEARIC ACID,284.485,70,371.9,810,16.5,1.054,844,70,"70,049",,,-764.51,,,,,,19.8034,7709.35,-57.83,370,174,,"C18H36O2, STEARIC ACID"
493,C18H38,N-OCTADECANE,254.502,28.1,316.3,745,12.1,,777,28,"54,512",777.4,385,-414.83,100.57,-14.47,1.72E+00,-9.59E-04,2.08E-07,16.1232,4361.79,-129.9,172,352,,"C18H38, N-OCTADECANE"
494,C18H38O,1-OCTADECANOL,270.501,57.8,334.8,747,14.2,,812,59,,,,-566.85,-36.22,-8.704,1.75E+00,-8.52E-04,2.16E-07,15.6898,3757.82,-193.1,201,385,,"C18H38O, 1-OCTADECANOL"
495,C19H38,N-TETRADECYLCYCLOPENTANE,266.513,,325.8,772,11.2,,,,"56,019",924.6,399.62,-374.63,145.58,-64.929,1.88E+00,-1.09E-03,2.43E-07,16.2632,4439.38,-138.1,192,375,,"C19H38, N-TETRADECYLCYCLOPENTANE"
496,C19H40,N-NONADECANE,268.529,31.8,329.9,756,11.1,,789,32,"56,061",793.62,393.54,-435.43,108.98,-15.491,1.81E+00,-1.02E-03,2.21E-07,16.1533,4450.44,-135.6,183,366,,"C19H40, N-NONADECANE"
497,C20H40,N-PENTADECYLCYCLOPENTANE,280.54,,351.8,780,10.2,,,,"57,694",950.57,406.33,-395.28,153.99,-66.093,1.98E+00,-1.14E-03,2.55E-07,16.3092,4642.01,-145.1,203,388,,"C20H40, N-PENTADECYLCYCLOPENTANE"
498,C20H42,N-EICOSANE,282.556,36.8,343.8,767,11.1,,775,40,"57,527",811.29,401.67,-456.07,117.4,-22.383,1.94E+00,-1.12E-03,2.53E-07,16.4685,4680.46,-141.1,198,379,,"C20H42, N-EICOSANE"
499,C20H42O,1-EICOSANOL,298.555,65.8,355.8,770,12.2,,,,"65,314",,,-608.13,-19.43,-12.581,1.95E+00,-1.12E-03,2.52E-07,15.8233,3912.1,-203.1,219,406,,"C20H42O, 1-EICOSANOL"
500,C21H42,N-HEXADECYLCYCLOPENTANE,294.567,,363.8,791,9.7,,,,"59,369",977.42,412.29,-415.87,162.41,-66.683,2.07E+00,-1.24E-03,2.67E-07,16.3553,4715.69,-152.1,215,401,,"C21H42, N-HEXADECYLCYCLOPENTANE"
